,Customer ID,full_name,Gender,Age,Region,Job Classification,Balance,Date
0,100000001,Simon Walsh,Male,21,England,White Collar,113810.15,2015-01-05
1,400000002,Jasmine Miller,Female,34,Northern Ireland,Blue Collar,36919.73,2015-01-06
2,100000003,Liam Brown,Male,46,England,White Collar,101536.83,2015-01-07
3,300000004,Trevor Parr,Male,32,Wales,White Collar,1421.52,2015-01-08
4,100000005,Deirdre Pullman,Female,38,England,Blue Collar,35639.79,2015-01-09
5,300000006,Ava Coleman,Female,30,Wales,Blue Collar,122443.77,2015-01-09
6,100000007,Dorothy Thomson,Female,34,England,Blue Collar,42879.84,2015-01-11
7,200000008,Lisa Knox,Female,48,Scotland,Other,36680.17,2015-01-11
8,300000009,Ruth Campbell,Female,33,Wales,White Collar,74284.35,2015-01-11
9,100000010,Dominic Parr,Male,42,England,White Collar,10912.45,2015-01-12
10,100000011,Dominic Lewis,Male,40,England,White Collar,39667.83,2015-01-12
11,100000012,Benjamin Grant,Male,39,England,White Collar,32281.62,2015-01-12
12,100000013,Ryan MacDonald,Male,24,England,White Collar,40781.63,2015-01-12
13,200000014,Thomas Lawrence,Male,46,Scotland,Other,48791.46,2015-01-12
14,300000015,Madeleine Marshall,Female,36,Wales,Other,2846.03,2015-01-12
15,100000016,Nicholas Newman,Male,42,England,White Collar,2116.85,2015-01-14
16,200000017,Grace Hill,Female,31,Scotland,Other,10356.31,2015-01-14
17,200000018,Samantha Coleman,Female,42,Scotland,Other,3801.69,2015-01-14
18,100000019,William Ince,Male,40,England,Blue Collar,65534.69,2015-01-15
19,100000020,Audrey Jones,Female,46,England,Blue Collar,11462.64,2015-01-15
20,300000021,Boris Johnston,Male,37,Wales,Other,31778.9,2015-01-16
21,200000022,Jason Butler,Male,58,Scotland,Blue Collar,21252.97,2015-01-18
22,300000023,Deirdre McDonald,Female,41,Wales,White Collar,66785.78,2015-01-18
23,200000024,Carl Quinn,Male,52,Scotland,Blue Collar,6580.81,2015-01-19
24,100000025,Jennifer Hughes,Female,38,England,White Collar,20505.32,2015-01-20
25,200000026,Richard Fraser,Male,55,Scotland,Blue Collar,43249.26,2015-01-21
26,400000027,Rachel McGrath,Female,37,Northern Ireland,White Collar,3967.2,2015-01-23
27,100000028,Alison Fisher,Female,33,England,White Collar,3428.56,2015-01-25
28,200000029,Lucas Mackenzie,Male,50,Scotland,Blue Collar,20516.1,2015-01-25
29,100000030,Luke Wilkins,Male,42,England,White Collar,10813.83,2015-01-27
30,100000031,Megan Bell,Female,25,England,White Collar,38889.76,2015-01-28
31,300000032,Warren Edmunds,Male,30,Wales,White Collar,14094.01,2015-01-28
32,200000033,Grace Chapman,Female,58,Scotland,Other,25865.2,2015-01-29
33,100000034,Jake Wilson,Male,26,England,Other,5833.62,2015-01-30
34,100000035,Karen Dyer,Female,34,England,Blue Collar,77809.59,2015-01-31
35,100000036,Yvonne Thomson,Female,36,England,White Collar,31680.67,2015-01-31
36,100000037,Sophie Gill,Female,33,England,White Collar,20504.37,2015-01-31
